customer_id,full_name,gender,age,region,city,phone_number,email,sim_type,plan_name,plan_price,activation_date,contract_length_months,monthly_data_used_gb,monthly_voice_minutes,monthly_sms_count,monthly_bill_amount,payment_method,payment_status,last_payment_date,device_type,device_brand,network_type,customer_service_calls,complaint_type,satisfaction_score,churn_status,signup_channel,referral_code,account_balance
CUST19403,Khadija Sheikh,Female,26,Mudug,Beledweyne,0420732407,khadija.sheikh266@yahoo.com,prepaid,Weekend Booster,2,30-Jun-2023,24.0,1.43,2890,265,2.46,BANK TRANSFER,Pending,2025/01/28,Smartphone,Itel,4G LTE,6,Slow Data,,No,Agent,,188.03
CUST15756,Fatima Guled,Male,68,Woqooyi Galbeed,Berbera,252031887851,fatima.guled967@gmial.com,Prepaid,Family Share,12,2022-10-30,0.0,3.98,2606,315,17.9 USD,EVC PLUS,Paid,15/04/2026,Tablet,Itel,4G LTE,2,Call Drop,1,Y,Retail Store,,112.48
CUST14285,Ahmed Ismail,female,39,Lower Shabelle,Hargeisa,252613623645,ahmed.ismail888@hotmail.com,Prepaid,Data Saver,5,2023-08-25,24.0,3.62,865,419,6.52,SAHAL,Overdue,03-12-2026,Tablet,Xiaomi,4G,5,Slow Data,3,N,Retail Store,,-7.23
CUST11172,Faisal Yusuf,female,61,Galguduud,Baidoa,+252478126888,,Postpaid,Student Plan,4,03/09/2022,,4.0,2573,417,5.53,EVC Plus,Failed,12-19-2024,Tablet,Tecno,2G,3,Billing Dispute,,N,Referral,REF2562,100.01
CUST13878,Hodan Farah,M,46,Sanaag,Kismayo,0373548403,hodan.farah198@gmial.com,  Postpaid  ,Business Pro,20,06-Dec-2023,6.0,3.26,983,29,23.81,EVC Plus,Pending,2024-05-26,Tablet,Infinix,4G,12,Billing Dispute,,Yes,Online,REF1124,65.03
CUST16161,Ibrahim Ahmed,male,53,Galguduud,Kismayo,0718 036 394,ibrahim.ahmed316@hotmail.com,Prepaid,Unlimited Max,25,2022/08/10,24.0,1.43,1797,327,30.56,Cash,Pending,2026/03/20,Mobile Hotspot,iPhone,4G,11,Slow Data,2,No,Referral,REF6288,142.23
CUST15202,Jamal Warsame,Female,58,Hiiraan,Mogadishu,252379524669,jamal.warsame521@gmail.com,Postpaid,Student Plan,4,2023/04/07,6.0,4.12,1631,221,10.23,CASH,Pending,,Smartphone,Tecno,2G,1,Call Drop,5,1,Call Center,REF1890,171.57
CUST17961,Halima Guled,F,43,Gedo,Berbera,0961932758,halima.guled266@gmial.com,Postpaid,Unlimited Max,25,2023-10-03,24.0,1.51,1304,52,25.2,CREDIT CARD,Failed,2025-02-06,Smartphone,Infinix,4G,0,Network Issue,4,Y,Online,,115.01
CUST12698,Samira Hassan,Female,72,Bari,Beledweyne,+252 56 095 1973,samira.hassan365@gmial.com,postpaid,Business Pro,20,2024/05/16,,5.95,824,300,27.9,EVC Plus,Pending,2024-11-26,Tablet,Itel,2G,5,Billing Dispute,4,Yes,Agent,,43.8
CUST17705,Nasra Farah,M,27,Lower Shabelle,Mogadishu,+252560703659,,Postpaid,Data Saver,5,2024-09-15,12.0,0.13,1251,114,6.15,Credit Card,Overdue,19-Oct-2024,Tablet,Nokia,2G,10,Slow Data,2,0,RETAIL STORE,REF1184,119.23
CUST14911,Said Aden,Female,48,Bari,Jowhar,252850834156,said.aden540@gmail.com,Prepaid,Unlimited Max,25,24-Dec-2020,24.0,3.23,2853,43,30.66,Cash,Overdue,2024-05-04,Tablet,Itel,3G,9,Call Drop,4,No,RETAIL STORE,REF5754,174.26
CUST16421,Halima Mohamud,Male,22,Togdheer,Beledweyne,0021452627,halima.mohamud728@gmail.com,POSTPAID,Business Pro,20,09-Apr-2020,,2.5,447,191,21.58,Credit Card,Paid,2026-12-17,Mobile Hotspot,Nokia,2G,3,SIM Swap,5,N,Online,REF3826,1.31
CUST15179,Mustafa Yusuf,male,23,Togdheer,Marka,+252 57 408 4962,mustafa.yusuf155@yahoo.com,  Postpaid  ,Student Plan,4,08-Sep-2022,,9.78,48,486,12.2,Cash,Pending,2026-01-22,Smartphone,Nokia,4G,7,SIM Swap,3,Yes,Online,,149.36
CUST14640,Osman Ahmed,male,50,Nugaal,Galkayo,+252 55 285 2727,osman.ahmed156@hotmail.com,Postpaid,Weekend Booster,2,2022-04-07,,11.66,2804,492,9.63,EVC Plus,Paid,,Smartphone,Samsung,4G,10,Billing Dispute,,Yes,Call Center,REF6228,13.25
CUST10020,Jamal Dahir,female,50,Bari,Garowe,+252946474367,jamal.dahir586@hotmail.com,Postpaid,Family Share,$12.00,06-09-2024,,3.79,200,466,16.14,Sahal,Pending,22/12/2025,Feature Phone,Infinix,2G,1,SIM Swap,N/A,N,Retail Store,REF2476,180.12
CUST19837,Farhan Abdullahi,male,19,Hiiraan,Kismayo,0300910797,farhan.abdullahi16@yahoo.com,postpaid,Family Share,12,14/01/2024,6.0,1.12,648,78,16.8,Bank Transfer,Paid,02/11/2026,Feature Phone,,4G LTE,0,Network Issue,5,0,Online,,56.99
CUST15177,Anisa Hassan,Male,68,Banaadir,Burao,+252827136450,anisa.hassan944@gmial.com,Prepaid,Unlimited Max,25,2021/03/10,,0.36,2698,185,29.52,CREDIT CARD,Paid,03-Mar-2025,Smartphone,Infinix,4G LTE,14,Slow Data,3,Y,Referral,,72.47
CUST18020,Ikran Hussein,M,64,Bay,Bosaso,+252402883477,ikran.hussein354@,  Prepaid  ,Unlimited Max,25,19-Apr-2021,,2.76,969,200,26.17,EVC Plus,Failed,,Mobile Hotspot,Tecno,3G,5,Slow Data,,N,Agent,,67.33
CUST19994,Ikran Ahmed,M,68,Hiiraan,Berbera,+252 12 827 1778,ikran.ahmed263@yahoo.com,  Prepaid  ,Family Share,12,19-Oct-2022,12.0,0.53,2688,433,13.98,Bank Transfer,Failed,2025-11-29,Tablet,Xiaomi,2G,1,,4,No,Retail Store,REF2072,96.07
CUST19191,Sagal Farah,female,20,Mudug,Galkayo,0920886059,sagal.farah628@yahoo.com,Postpaid,Basic Talk,3,2024-09-12,6.0,0.06,2709,377,1.21,  Cash  ,Overdue,16/02/2026,Mobile Hotspot,Itel,4G LTE,10,SIM Swap,1,Y,Agent,REF8182,44.03
CUST19610,Halima Dahir,Female,72,Hargeisa,Marka,+252 95 424 8037,,POSTPAID,Unlimited Max,25,09/11/2025,0.0,4.81,2714,398,31.66,Sahal,Paid,04-Apr-2024,Smartphone,Infinix,3G,1,No Complaint,,1,Online,,182.52
CUST12587,Jamal Warsame,Male,37,Bay,Beledweyne,252276862140,jamal.warsame856@gmial.com,Prepaid,Basic Talk,3,15/11/2024,12.0,4.59,2412,133,6.72,evc plus,Failed,26-Oct-2024,Smartphone,Xiaomi,4G LTE,1,Billing Dispute,5,1,Call Center,,-18.48
CUST10940,Nasra Ismail,Female,35,Gedo,Garowe,252126193790,nasra.ismail761@gmial.com,Prepaid,Unlimited Max,25,04-07-2023,0.0,1.28,347,405,25.02,Sahal,Paid,31/08/2026,Tablet,Xiaomi,3G,7,Network Issue,4,0,Online,,169.97
CUST13582,Muna Nur,F,26,Bay,Berbera,+252002533133,muna.nur807@gmail.com,Postpaid,Basic Talk,3,23-May-2021,12.0,1.79,94,287,8.55,  Bank Transfer  ,Pending,07-07-2026,Feature Phone,Nokia,4G,12,None,5,1,Online,REF4280,146.68
CUST14630,Muna Guled,male,29,Mudug,Beledweyne,0523571241,muna.guled321@yahoo.com,Postpaid,Basic Talk,3,2021-01-15,12.0,0.51,2015,77,-1.62,  Sahal  ,Paid,04-28-2025,Smartphone,Nokia,4G,10,SIM Swap,5,1,  Retail Store  ,,164.19
CUST15182,Sahra Aden,M,50,Banaadir,Kismayo,0389 122 618,sahra.aden680@yahoo.com,POSTPAID,Family Share,12,2023/08/27,6.0,0.57,1710,339,16.22,Bank Transfer,Paid,11-10-2025,Tablet,Samsung,2G,1,SIM Swap,,0,Online,,128.32
CUST11859,Warsame Warsame,Female,19,Hiiraan,Burao,+252142469637,,postpaid,Basic Talk,3,04-Feb-2024,,5.22,302,305,9.84,BANK TRANSFER,Failed,29/06/2025,Mobile Hotspot,Tecno,2G,2,Slow Data,,No,Online,,66.02
CUST11518,Ahmed Osman,M,39,Woqooyi Galbeed,Beledweyne,252006605677,ahmed.osman193@,PREPAID,Weekend Booster,2,2022/05/25,,1.12,1741,499,2.28,Cash,Pending,2024-08-21,Mobile Hotspot,Xiaomi,3G,2,Call Drop,1,N,Online,,147.15
CUST15227,Jamal Jama,female,64,Hiiraan,Burao,0350520403,,Postpaid,Student Plan,4,10-23-2020,,8.63,2076,146,6.71,Bank Transfer,Overdue,16-Dec-2026,Feature Phone,Huawei,4G LTE,14,Slow Data,2,Yes,Referral,REF1522,67.34
CUST11502,Omar Sheikh,male,21,woqooyi galbeed,Galkayo,0756 892 924,omar.sheikh33@,  Prepaid  ,Student Plan,4,2023-12-31,12.0,0.1,1713,96,5.01,evc plus,Failed,06/06/2026,Tablet,Huawei,4G,14,No Complaint,2,N,  Online  ,,87.01
CUST18791,Hibaq Sheikh,Female,27,Bay,Jowhar,+252 04 307 1940,hibaq.sheikh245@yahoo.com,Postpaid,Student Plan,4,03-29-2024,,0.24,2652,164,4.26,EVC Plus,Pending,2025-06-03,Feature Phone,Samsung,4G,11,Call Drop,4,N,retail store,REF4477,193.21
CUST11272,Faisal Ismail,Male,64,Hargeisa,Kismayo,+252 96 147 3074,faisal.ismail154@,Postpaid,Student Plan,4,25/07/2025,,6.05,2515,218,9.4,Sahal,Pending,08-21-2025,Mobile Hotspot,Huawei,3G,13,Call Drop,3,Y,Online,,66.19
CUST16744,Cabdi Hassan,M,57,Woqooyi Galbeed,Galkayo,0792 924 271,cabdi.hassan20@gmial.com,Postpaid,Basic Talk,3,12-Oct-2025,,2.59,1575,202,7.96,Zaad,Pending,05-22-2026,Tablet,Xiaomi,2G,13,None,4,Yes,Call Center,,19.05
CUST13539,Hassan Ali,male,64,Bari,Hargeisa,+252 56 732 8982,hassan.ali555@hotmail.com,Prepaid,Business Pro,20,2021/11/14,12.0,0.26,1260,265,24.44,Sahal,Failed,11-16-2024,Smartphone,iPhone,2G,10,Network Issue,2,Y,Online,,3.49
CUST13002,Warsame Osman,male,17,Bari,Hargeisa,+252 85 219 8103,warsame.osman438@gmial.com,Postpaid,Weekend Booster,2,20/08/2023,12.0,1.15,2673,156,6.06,EVC Plus,Overdue,,Mobile Hotspot,Nokia,3G,0,,,Yes,Agent,,195.2
CUST11139,Hibaq Abdullahi,Female,60,Togdheer,Marka,252578735168,hibaq.abdullahi964@yahoo.com,Prepaid,Business Pro,20,04/12/2020,,3.59,586,42,25.02 USD,Credit Card,Overdue,10-07-2025,Tablet,Xiaomi,3G,9,No Complaint,,No,Online,,113.41
CUST10793,Ikran Warsame,Male,58,Lower Shabelle,Berbera,0388 112 099,ikran.warsame489@,Prepaid,Basic Talk,3,22/12/2024,12.0,3.78,1537,185,-5.83,Bank Transfer,Paid,29-Oct-2025,Tablet,iPhone,4G LTE,15,Slow Data,1,Y,  Agent  ,,112.23
CUST18209,Amina Dahir,F,34,Woqooyi Galbeed,Garowe,+252 25 677 8322,amina.dahir270@hotmail.com,  Prepaid  ,Weekend Booster,2,2021-04-21,24.0,0.69,1776,243,-1.65,CASH,Paid,2024/01/21,Feature Phone,Infinix,3G,4,Call Drop,5,Y,REFERRAL,,110.76
CUST18821,Osman Elmi,M,26,Jubbada Hoose,Mogadishu,252607802232,osman.elmi221@gmail.com,Postpaid,Unlimited Max,25,2024-02-25,6.0,19.74,273,150,37.9,EVC PLUS,Paid,01-May-2024,Feature Phone,Samsung,4G,0,Billing Dispute,N/A,N,Agent,,-13.93
CUST12499,Jamal Sheikh,M,16,Bari,Jowhar,0421567398,jamal.sheikh922@,Prepaid,Data Saver,$5.00,28-Jul-2020,24.0,2.09,2474,87,-6.7,Sahal,Pending,2024-11-01,Tablet,Itel,2G,4,No Complaint,2,0,Online,,58.22
CUST18390,Layla Ahmed,F,52,Galguduud,Jowhar,+252 93 730 2578,layla.ahmed592@gmial.com,PREPAID,Data Saver,5,20-Feb-2021,6.0,3.73,438,348,11.58,Sahal,Paid,10-05-2026,Smartphone,Itel,4G,6,Slow Data,3,N,Referral,,51.16
CUST12410,Bashir Abdullahi,Female,19,Galguduud,Mogadishu,252490766704,bashir.abdullahi846@,  Prepaid  ,Unlimited Max,$25.00,06-04-2024,0.0,4.66,2656,51,31.76,Credit Card,Failed,25/12/2024,Mobile Hotspot,Itel,4G,12,Billing Dispute,3,Y,online,,180.24
CUST17576,Bashir Guled,M,74,Bari,Berbera,+252714075500,bashir.guled757@,prepaid,Weekend Booster,2,12-02-2023,24.0,3.48,2165,386,2.0,Credit Card,Paid,2026/06/22,Mobile Hotspot,Nokia,4G,2,Call Drop,5,Y,Online,,159.87
CUST11407,Said Jama,Male,20,Bari,Baidoa,252202201738,said.jama646@,Prepaid,Business Pro,20,22-Aug-2024,24.0,6.55,2549,497,24.17,Cash,Failed,2026/05/29,Smartphone,Itel,2G,2,Network Issue,2,1,  Call Center  ,,95.72
CUST11735,Cabdi Jama,male,16,Bari,Berbera,+252 25 294 4930,cabdi.jama532@yahoo.com,prepaid,Weekend Booster,2,12-25-2020,6.0,8.71,749,397,9.84,EVC Plus,Paid,07/02/2026,Mobile Hotspot,Itel,4G LTE,1,Call Drop,5,Yes,Referral,,-0.52
CUST18604,Sahra Hussein,F,50,Galguduud,Galkayo,252853008915,sahra.hussein335@,PREPAID,Weekend Booster,2,2022-07-26,,2.4,1992,498,2.63,Credit Card,Pending,25/10/2026,Mobile Hotspot,Tecno,3G,4,None,2,No,RETAIL STORE,REF5456,26.99
CUST10213,Nadifo Elmi,F,17,Sanaag,Garowe,0625313552,nadifo.elmi327@gmail.com,postpaid,Unlimited Max,25,2022/08/10,12.0,1.02,2159,111,24.23,CREDIT CARD,Failed,06-10-2026,Tablet,Samsung,4G LTE,15,Network Issue,3,N,RETAIL STORE,,51.91
CUST17147,Liban Ahmed,Male,42,Shabeellaha Hoose,Berbera,+252 36 228 6786,liban.ahmed983@gmial.com,  Prepaid  ,Family Share,12,04-27-2022,,0.99,2554,396,13.25 USD,Sahal,Overdue,2024/12/12,Tablet,Itel,4G,6,None,2,1,Referral,,157.77
CUST10454,Faisal Jama,Male,36,Hiiraan,Berbera,0567078977,faisal.jama163@,Prepaid,Weekend Booster,$2.00,11-28-2025,6.0,0.47,1648,383,6.1,EVC Plus,Pending,28-Oct-2024,Smartphone,Tecno,4G LTE,11,No Complaint,4,N,CALL CENTER,,73.05
CUST11364,Kaltuun Farah,F,32,Bay,Berbera,0234945724,kaltuun.farah90@,postpaid,Student Plan,4,2024-09-27,,5.28,105,296,8.81,Cash,Paid,15/05/2025,Smartphone,Samsung,3G,7,No Complaint,1,Y,Referral,REF1155,54.84
CUST13336,Mohamed Sheikh,Male,31,Gedo,Baidoa,0680259323,mohamed.sheikh150@gmail.com,Prepaid,Student Plan,4,13/07/2020,,9.55,2322,463,12.72,ZAAD,Overdue,2025/01/08,Tablet,Tecno,4G,6,Slow Data,1,Y,Referral,,34.37
CUST14936,Abdi Hassan,male,22,Nugaal,Galkayo,252855549158,abdi.hassan843@hotmail.com,POSTPAID,Weekend Booster,2,29-Oct-2025,12.0,9.61,635,348,6.26,  Sahal  ,Pending,15-Aug-2024,Mobile Hotspot,iPhone,4G LTE,4,Slow Data,2,No,REFERRAL,,8.08
CUST11377,Khadija Dahir,Male,71,Lower Shabelle,Baidoa,+252 73 326 4081,khadija.dahir318@hotmail.com,Prepaid,Data Saver,$5.00,30/04/2023,6.0,2.89,2382,55,8.45,Credit Card,Overdue,23/12/2026,Mobile Hotspot,Infinix,2G,10,Billing Dispute,,1,REFERRAL,,-9.51
CUST16668,Ibrahim Ismail,female,35,Togdheer,Burao,+252 51 448 6789,ibrahim.ismail291@yahoo.com,Prepaid,Unlimited Max,25,2023/08/06,6.0,0.66,2266,63,25.33,Bank Transfer,Overdue,,Smartphone,Nokia,2G,5,Network Issue,2,1,Online,,56.24
CUST14271,Jamal Hassan,female,30,Bay,Bosaso,0539455467,jamal.hassan886@,PREPAID,Business Pro,20,17/08/2023,24.0,12.37,2289,79,25.14 USD,EVC Plus,Overdue,21/06/2025,Smartphone,iPhone,4G,10,SIM Swap,N/A,N,Call Center,REF7018,179.01
CUST10679,Ubah Cali,Female,28,Jubbada Hoose,Garowe,+252987920623,ubah.cali836@hotmail.com,Postpaid,Student Plan,4,2021-03-07,24.0,8.02,2337,390,8.84,SAHAL,Pending,,Feature Phone,iPhone,4G LTE,0,Call Drop,1,N,Agent,REF1218,35.7
CUST10304,Faisal Hassan,M,65,Lower Shabelle,Garowe,252679327986,faisal.hassan534@hotmail.com,Postpaid,Business Pro,20,2024-09-05,6.0,5.18,163,189,22.53,  Sahal  ,Overdue,2026/08/20,Mobile Hotspot,Infinix,4G LTE,10,Network Issue,,N,Agent,,-6.15
CUST14446,Khadija Xasan,female,35,Nugaal,Beledweyne,0162 193 739,khadija.xasan133@gmail.com,Prepaid,Weekend Booster,2,2025-12-20,24.0,0.8,1957,218,1.66,EVC Plus,Overdue,,Smartphone,Infinix,4G LTE,10,Billing Dispute,4,0,retail store,REF2661,150.78
CUST14587,Sagal Hussein,Female,36,Jubbada Hoose,Hargeisa,252170207377,sagal.hussein940@gmail.com,POSTPAID,Family Share,12,01-07-2022,,0.56,112,251,15.35,Zaad,Pending,23-Feb-2026,Tablet,Infinix,4G LTE,1,SIM Swap,N/A,Y,  Online  ,REF2880,161.54
CUST11388,Abdi Mohamud,female,21,Woqooyi Galbeed,Baidoa,252073888012,abdi.mohamud271@yahoo.com,  Postpaid  ,Data Saver,5,2021-01-24,24.0,14.0,1117,170,11.25,CREDIT CARD,Paid,,Mobile Hotspot,Samsung,4G,3,Network Issue,,Yes,AGENT,REF2757,16.42
CUST19789,Abdi Abdullahi,M,19,Mudug,Berbera,0917026093,abdi.abdullahi38@yahoo.com,POSTPAID,Student Plan,4,16-Sep-2025,24.0,0.08,203,222,4.86,Credit Card,Overdue,16-Feb-2026,Tablet,Xiaomi,4G,2,Call Drop,2,No,Call Center,,110.46
CUST17775,Mustafa Dahir,M,47,Nugaal,Kismayo,+252 73 768 8743,mustafa.dahir292@yahoo.com,Prepaid,Weekend Booster,$2.00,25-Dec-2022,,0.1,2214,484,4.3,  Cash  ,Pending,13-Jul-2026,Feature Phone,Nokia,2G,6,Network Issue,1,N,Retail Store,,33.19
CUST17308,Yusuf Dahir,female,72,Hiiraan,Berbera,252501146736,yusuf.dahir127@yahoo.com,Prepaid,Unlimited Max,25,03-24-2020,0.0,6.23,988,414,27.11,Cash,Pending,27/01/2025,Tablet,Huawei,4G,9,No Complaint,3,Yes,Referral,,63.09
CUST13761,Nadifo Aden,M,54,Nugaal,Beledweyne,+252443138883,nadifo.aden522@gmial.com,Postpaid,Student Plan,4,2021/03/06,0.0,5.31,2871,324,5.56,  Sahal  ,Paid,06-03-2025,Tablet,Xiaomi,3G,9,Slow Data,5,No,Agent,REF6477,145.72
CUST11446,Osman Osman,female,30,Hiiraan,Bosaso,252943747506,osman.osman572@hotmail.com,Prepaid,Weekend Booster,2,2022/01/23,6.0,4.72,2385,333,7.15,CREDIT CARD,Paid,10-07-2024,Mobile Hotspot,Tecno,4G LTE,11,Network Issue,4,Y,Online,REF1422,55.96
CUST15933,Sahra Elmi,Male,69,Gedo,Bosaso,252780138326,sahra.elmi988@gmial.com,Prepaid,Family Share,12,2022-09-24,0.0,17.7,57,314,22.69,EVC Plus,Overdue,31/07/2025,Smartphone,Infinix,3G,7,None,,0,Agent,,51.02
CUST11966,Qamar Hussein,Female,48,Mudug,Bosaso,0359790356,qamar.hussein430@gmial.com,POSTPAID,Weekend Booster,2,11-04-2025,0.0,0.82,2764,477,6.84,Sahal,Pending,2026-01-11,Tablet,Huawei,3G,12,None,4,No,Referral,,9.8
CUST15692,Ibrahim Warsame,Male,40,Togdheer,Garowe,+252051011855,ibrahim.warsame216@hotmail.com,PREPAID,Unlimited Max,25,2025-05-28,0.0,4.6,696,431,30.52,Cash,Paid,07-27-2025,Feature Phone,Xiaomi,4G,10,Call Drop,3,0,Online,REF7676,102.92
CUST18966,Samira Guled,Male,27,Galguduud,Hargeisa,0248 881 374,samira.guled415@gmial.com,Postpaid,Basic Talk,3,10-Dec-2025,12.0,3.59,2158,78,7.66,Bank Transfer,Overdue,2026-08-27,Mobile Hotspot,Xiaomi,3G,15,Billing Dispute,N/A,Yes,Online,,81.04
CUST14167,Omar Yusuf,male,46,Bay,Berbera,0870 179 855,omar.yusuf228@,  Postpaid  ,Data Saver,5,24-Jul-2024,24.0,0.4,620,275,4.73,Credit Card,Paid,15-Mar-2024,Feature Phone,,4G LTE,12,None,3,Y,Agent,,5.09
CUST18982,Qamar Sheikh,Male,43,Mudug,Hargeisa,0384571231,qamar.sheikh430@,Postpaid,Business Pro,20,06/05/2020,12.0,4.06,2132,425,26.77,EVC Plus,Overdue,2025-03-06,Tablet,Tecno,4G LTE,14,,2,0,RETAIL STORE,REF5827,138.36
CUST12827,Ahmed Warsame,M,75,Lower Shabelle,Burao,0362691585,ahmed.warsame272@gmail.com,Postpaid,Student Plan,4,2021-02-08,6.0,0.4,2620,219,8.51,  Cash  ,Paid,2024-06-27,Feature Phone,Tecno,3G,1,SIM Swap,5,0,Call Center,,121.37
CUST16077,Ikran Ismail,male,42,Nugaal,Galkayo,+252 87 188 1521,ikran.ismail517@,Prepaid,Weekend Booster,$2.00,18-Jan-2025,24.0,3.14,2435,437,4.46 USD,Bank Transfer,Overdue,04/09/2025,Smartphone,iPhone,2G,6,Billing Dispute,,1,online,REF5925,7.75
CUST12804,Jamal Yusuf,male,47,Bari,Hargeisa,+252304951042,jamal.yusuf912@gmial.com,POSTPAID,Data Saver,5,2020/02/15,,2.95,2110,362,5.89,Bank Transfer,Paid,26-Jul-2024,Mobile Hotspot,Infinix,4G LTE,15,Billing Dispute,,No,Call Center,,162.29
CUST18751,Warsame Sheikh,female,42,Nugaal,Baidoa,+252 04 984 9712,warsame.sheikh327@gmial.com,Prepaid,Student Plan,4,2025-11-06,12.0,0.88,474,383,3.68,Zaad,Pending,2025/09/09,Tablet,Nokia,4G,3,None,3,N,Call Center,REF3697,158.86
CUST11165,Qamar Ahmed,Female,34,Galguduud,Kismayo,+252 61 528 3056,qamar.ahmed53@gmial.com,Prepaid,Basic Talk,3,2025-08-19,,6.81,700,18,8.47,EVC PLUS,Overdue,02-04-2025,Tablet,Tecno,3G,1,No Complaint,2,N,CALL CENTER,REF1184,16.86
CUST12424,Hassan Xasan,Male,41,Togdheer,Bosaso,0677698292,,Postpaid,Student Plan,4,09/04/2021,6.0,1.37,989,110,4.2,Credit Card,Overdue,11-21-2024,Tablet,Nokia,4G LTE,4,None,5,1,Call Center,,27.9
CUST18801,Omar Guled,Female,24,Hiiraan,Jowhar,0149 634 226,omar.guled296@gmail.com,Prepaid,Student Plan,4,2023-03-12,12.0,1.2,13,168,3.37,SAHAL,Pending,2024/10/07,Smartphone,Nokia,3G,9,SIM Swap,3,Y,Call Center,,23.04
CUST15661,Yusuf Yusuf,F,20,Galguduud,Hargeisa,252716011670,yusuf.yusuf827@,postpaid,Business Pro,20,12/03/2020,6.0,0.45,2195,52,24.21 USD,credit card,Pending,02-Feb-2026,Feature Phone,iPhone,4G LTE,8,None,,N,Referral,,-4.92
CUST13129,Hodan Yusuf,Female,64,Sanaag,Kismayo,0107 078 067,hodan.yusuf58@gmail.com,Postpaid,Basic Talk,3,2025-07-09,24.0,7.29,84,356,10.44,  Zaad  ,Paid,2026/10/10,Feature Phone,Xiaomi,2G,7,Billing Dispute,,No,  Agent  ,REF4779,-7.22
CUST16967,Anisa Elmi,female,27,Togdheer,Galkayo,0855 425 043,anisa.elmi924@gmail.com,POSTPAID,Business Pro,20,28-Nov-2021,,954.91,1159,239,495.7,Zaad,Overdue,04-11-2026,Mobile Hotspot,Tecno,2G,0,Call Drop,1,0,online,,-13.4
CUST18744,Amina Hassan,Male,28,Mudug,Marka,+252960088533,amina.hassan225@gmail.com,Postpaid,Basic Talk,3,2021-06-05,24.0,2.91,722,477,5.41,  Bank Transfer  ,Overdue,2024/12/06,Tablet,Samsung,3G,11,No Complaint,,No,AGENT,,64.72
CUST16276,Hibaq Abdullahi,Female,63,Sanaag,Kismayo,+252722019196,,postpaid,Family Share,12,11/08/2021,6.0,1.18,2470,5,13.44,Zaad,Pending,01/06/2024,Tablet,iPhone,4G LTE,10,None,2,1,online,,150.42
